Original Description,Charge Class,Confidence Score,Matches
"G.I. LAVAGE 236 G SOLR 4,000 ML BOTTLE",Diluent / Flush / Irrigant,0.67,HB NORMAL SALINE IRRIG 500ML BOTT
HB-ELECTRON MICROSCOPY DIAG,Laboratory,0.8,HB ELECTRONIC CROSSMATCH C16
HB-HOVER MATT - DISPOSABLE,Supply,0.8,HB TROCAR DISPOSABLE SPLIT
HB-CORE NEEDLE,Supply,0.78,YUEH NEEDLE
"HB-PREGNANCY TEST, VISUAL, COLOR COMPARE",Monitoring,0.75,HC CAPILLARY GLUCOSE NOVA METER
INSULIN REGULAR (HUMAN) 100 UNIT/ML SOLN,Pharmacy,1,INSULIN REGULAR HUMAN 100 UNIT/ML SOLN
"MIDAZOLAM 1 MG, ML SOLN 3 ML SYRINGE",Pharmacy,0.92,MIDAZOLAM 1:10 0.5 MG/ML SOLN 1 ML SYRINGE
HB-IP PERIT DIAL CONSULT/3 HR,Plan Benefit,0.72,HB NITRIC OXIDE - 1 HOUR
HB-ANTIBODY SCREEN,Laboratory,0.95,HB ANTIBODY SCREEN C32
HB-LIPID PANEL,Laboratory,0.94,HC LIPID PANEL
HB-GLYCOSYLATED HEMOGLOBIN TEST,Laboratory,0.9,HC GLYCOSYLATED HEMOGLOBIN
HB-IOHEXOL 100CC,Diluent / Flush / Irrigant,0.71,SOL N/S 100 CC
HB-DAILY CARE ICU,Room and Board,0.78,DAILY CARE 5KSW
"HB-POTASSIUM, URINE",Laboratory,0.96,POTASSIUM  URINE
HB-COMPLEMENT (CH50),Laboratory,0.78,COMP MET PNL
LABETALOL 5 MG/ML SOLN 4 ML SYRINGE,Pharmacy,0.86,LABETALOL 5 MG/ML INJ 4 ML
HB-BLOOD GAS ADD O2 SATURATION,Laboratory,0.84,BLOOD GASES W O2 SATURATION
GADOBENATE DIMEGLUMINE 529 MG/ML SOLN 20 ML VIA,Pharmacy,0.76,DEXMEDETOMIDINE 200 MCG/2ML SOLN 2 ML VIAL
HB-INSERT CATH INTRAPERITONEAL PERMANENT,Respiratory Therapy,0.74,BREATHING TREATMENT REPEAT
HB-GAMMAGLOBULIN IGA,Laboratory,0.83,GAMMAGLOBULIN IGG
HB-GAMMAGLOBULIN IGM,Laboratory,0.83,GAMMAGLOBULIN IGG
"HB-CULTURE TYPING, AGGLUTINATIN GROUPING",Laboratory,0.75,CULTURE TYPING NUCLEIC ACI
HB-SOLN 1.5-4 25% DELFLEX 2500ML,Respiratory Therapy,0.69,O2
HB-DUFLEX SCAN ABD/PELVTC COMPLETE,Monitoring,0.72,HC-LAB-GLUCOSE BLD MNTR DVICE
"HB-SODIUM, URINE",Laboratory,0.95,SODIUM  URINE
PROCHLORPERAZINE 5 MG/ML SOLN 2 ML SYRINGE,Pharmacy,0.82,PROCHLORPERAZINE 10MG/2ML INJ
"HB-HEPATITIS B SURFACE AG, EIA",Laboratory,0.83,HC HEPATITIS B SURFACE ANTIGEN
HB-POTASSIUM,Laboratory,1,HB POTASSIUM
HEPARIN 1000 UNIT/ML SOLN,Pharmacy,1,HEPARIN 1 000 UNIT/ML SOLN
HB-HEMATOCRIT NON SPUN,Laboratory,0.88,HB HEMATOCRIT
"HB-HEALTH & BEHAVIOR, ASSMNT PER 15MIN (NLP)",PT / OT / Speech Therapy,0.73,HB OT SELF CARE TRAIN EA 15 MIN
PHYTOMADIONE 5 MG TABS,Pharmacy,0.8,AMLODIPINE 5MG TAB
FUROSEMIDE 10 MG/ML SOLN 10 ML BAG,Pharmacy,0.94,FUROSEMIDE 10 MG/ML SOLN 10 ML VIAL
HB-CATHETER RIGHT HEART,Cardiology,0.81,HEART CATH RIGHT
HB-RBC LEUKOCYTES REDUCED L2,Blood Products,0.93,RBC LEUKOCYTES REDUCED
HB-NEUROBEHAVIORAL STATUS EXAM PER HR (NLP0,Diluent / Flush / Irrigant,0.69,NS
HB-F2T-PLSM FZN24/FTP-THAW PLSM L1,Laboratory,0.66,THROMBOPLASTIN TM PRTL PLS
HB-EGD W/ BIOPHY,Nursing Services,0.67,ABG DRAW BY RT
HB-CATHETER GUIDE,Supply,0.78,HB CATHETER BACTISEAL KIT
INSULIN REGULAR (HUMAN) 100 UNIT/ML SOLN 3 ML V,Pharmacy,0.96,INSULIN REGULAR HUMAN 100 UNIT/ML SOLN
LOSARTAN 25 MG TABS,Plan Benefit,0.81,BOSENTAN 125 MG TAB
HB-BLD COUNT RHTICULOCYTE,Laboratory,0.72,HC BL COUNT CBC AUTO W/AUTO DIFF
HB-ASSAY OF CERULOPLASMIN,Laboratory,0.85,ASSAY OF PREALBUMIN
"MIDAZOLAM 1 MG, ML SOLN 2 ML SYRINGE",Pharmacy,0.92,MIDAZOLAM 1:10 0.5 MG/ML SOLN 1 ML SYRINGE
HB-MODERATE SEDATION EACH ADDNL 15 MIN,PT / OT / Speech Therapy,0.73,HB OT SELF CARE TRAIN EA 15 MIN
HB-RECOVERY LEVEL 2 PER MINUTE,Laboratory,0.77,PAH RECOVERY LEVEL II - STATIS
HB-EGD W/ CONTROL OF BLEEDING,Monitoring,0.75,HB GLUCOSE METER BLOOD
"HB-CULTURE, URINE PRESUM ID",Laboratory,0.85,CULTURE URINE
"HB-CATHETER KIT, PERITONEAL",Supply,0.81,HB CATHETER BACTISEAL KIT
HB-CLINIC VISIT LEVEL 3 RETURN - T1,Nursing Services,0.73,HC IV INF THER INIT 1ST HR
HB-OCCUPATIONAL THERAPY EYAL; 60 MIN,PT / OT / Speech Therapy,0.9,HB OCCUPATIONAL THERAPY EV
HB-BIOPSY GUIDE KIT,Respiratory Therapy,0.71,HB OXYGEN
"HB-BLOOD GASES PH, PO2 & PCO2",Monitoring,0.86,BLOOD GASES POC
HB-BILIRUBIN TOTAL,Laboratory,0.89,HC BILIRUBIN; TOTAL
HB-SHEATH STANDARD (SHORT/LONG),Radiology,0.7,CT HEAD OR BRAIN W/O CONTRAST
DESMOPRESSIN DDAVP) 4 MCG/ML SOLN 4.5 ML BAG,OR / Anesthesia / Recovery Room,0.74,DESMOPRESSIN 4 MCG/ML INJECTION SOLUTION
HB-COMPLEMENT C4,Laboratory,0.81,COMP MET PNL
HB-ACTIVATED CLOTTING TIME POC,Laboratory,0.76,HC POCT ACTIVATD CLOTTING TIME
HB-IMMUNOGLOBULIN E,Laboratory,0.76,BETA-2 MICROGLOBULIN
HB-MRA-CHEST WITH OR W/O CONTRAST,Radiology,0.78,CTA  CHEST W/ CONTRAST
HB-ECHO 2D W/ OR W/O M-MODE F/U OR LTD,Cardiology,0.82,ECHO 2D W/W/O M MODE LTD
HB-TRANSFERRIN,Laboratory,0.84,TRANSFERRIN SERUM
HB-ABDOMEN XRAY AP VIEW (KUB),Radiology,0.81,XRAY ABDOMEN AP 1 VIEW
HB-ASO,Laboratory,0.82,HB LAB SODIUM*
HB-ANTINUCLEAR ANTIBODIES,Pharmacy,0.78,HB CLARITIN REDITABS
"HB-INJ DURING CARDIAC CATH, PULMONARY AMGIOGRAP",Laboratory,0.69,HC IRON BINDING CAPACITY TOTAL
ENALAPRIL 5 MG TABS,Pharmacy,0.82,SERTRALINE 50 MG TABS
HB-ECHO TRANSHORACIC CONGENITL COMPLETE,Respiratory Therapy,0.74,HC INTUBATION ENDOTRACHEAL EMERG PROC
.FORCEPS RADIAN JAW 4 LARGE CAPACITY,PT / OT / Speech Therapy,0.7,SCREEN FOR PHYSICAL THERAPY
HB-LACTATE (LI) (LDH) EMEYME,Laboratory,0.78,LACTATE
HB-BIILIRUBIN DIRECT,Laboratory,0.86,HC BILIRUBIN; DIRECT
"HB-ALPHA-1-ANTITRYPSIN, TOTAL",Laboratory,0.94,ALPHA-1-ANTITRYPSIN TOTAL
HB-CANE ALUMINUM ADJUSTABLE,Capital Equipment,0.7,HB ALTERNATING SURFACE BED
HB-MICROPUNCTURE INTRODUCTION SET,Nursing Services,0.78,HC VENIPUNCTURE ROUTINE
HB-EXERCISE BALL,PT / OT / Speech Therapy,0.79,EXERCISE 15
FENTANYL IV BAG 5MG/100ML,Pharmacy,0.78,FENTANYL 50MCG/ML 5ML
SOLUTION NACL .9% IRRIGAT_2619,Diluent / Flush / Irrigant,0.77,SOLUTION IRR AQLT 0.9%
PROPOFOL INJ 1000 MG/100 ML,Pharmacy,0.96,PROPOFOL 1000MG/100ML
WARFARIN TAB 1 MG,Pharmacy,0.89,WARFARIN 10 MG TABS
DIPYRIDAMOLE TAB 75 MG,Pharmacy,0.79,MIDODRINE HCL TAB 5MG
LISINOPRIL TAB 2.5MG,Pharmacy,0.9,LISINOPRIL 5 MG TAB
CANISTER SUCTION 2500CC C_324279,Supply,0.76,CANISTER SUCTION LINER-956
CONIVAPTAN/D5W INJ BK 20MG/100ML,Diluent / Flush / Irrigant,0.7,D5W
PHOSPHATE,Laboratory,1,PHOSPHATE
LEUKOCYTE POOR BLOOD EA UNIT,Blood Products,0.77,PLTS LEUKO RED EA UNIT (PL
OXYCODONE TAB 5 MG,Pharmacy,0.93,OXYCODONE 5 MG TAB
HEMOSTAT SURGICEL ABSORBA_9692,Pharmacy,0.72,POTASSIUM CL ER TAB 2
DEXTROSE IV BAG 5% 250 ML,Diluent / Flush / Irrigant,0.92,DEXTROSE 5% 250ML
PROPOFOL INJ 200MG/20ML,Pharmacy,0.9,PROPOFOL 200MG/20ML INJ
UNIQUE PATIENT ENCOUNTER,Nursing Services,0.75,VENIPUNCTURE  ROUTINE
CLOT LYSIS TIME WB DILUTION,Laboratory,0.73,COMPATIBILITY TEST SPIN
AMIODARONE INJ 150 MG/3 ML,Pharmacy,0.82,AMIODARONE 50 MG/ML SOLN
MAGNESIUM OXIDE TB 400MG(20 MEQ),Laboratory,0.78,MAGNESIUM
UNDILUTED,Radiology,0.71,US ABDOMEN LIMITED
OXYCODONE/ACETAMINOPHENTB5/325MG,Pharmacy,0.91,OXYCODONE-ACETAMINOPHEN 5-325 MG TABS
MULTI VITAMINS THERAP UDCUP 5ML,Pharmacy,0.82,MULTIVITAMIN WITH MINERALS
FERROUS SULFATE TAB 325 MG,Pharmacy,0.9,FERROUS SULFATE 324MG EC TAB
HEPARIN-PROTAMINE TOLERANCE TEST,Procedure,0.74,HC INS ARTERY LINE PERC
DOCUSATE CAP 100MG,Pharmacy,0.92,DOCUSATE 100MG CAP
RANITIDINE TAB 150 MG -,Pharmacy,0.81,RANITIDINE 15 MG/ML SYRP
PLEDGET .625*.25_107759,Procedure,0.61,EEG
PANTOPRAZOLE ERTAB 40 MG-,Pharmacy,0.92,PANTOPRAZOLE 40 MG TAB
COMPREHEN METABOLIC PANEL,Laboratory,0.88,COMPREH METABOLIC PANEL
DRESS WOUND TEGADERM W/ P_342228,Supply,0.79,DRESSING TEGADERM 1 3/4
POTASSIUCHLOR SOLN CUP40MEQ/30ML,Pharmacy,0.8,POTASSIUM CHLOR 10 MEQ/50 ML I
COAG TIME ACTIVATED,Laboratory,0.75,HC COAGULATION TIME ACTIVATED
CHLORHEXIDINE GLUCONAT MWSH 15ML,Supply,0.89,CHLORHEXIDINE GLUCONATE 0.12 % MWSH
CONNECTOR CARDIO 1-1 BLAK_228751,Supply,0.72,HB CONNECTOR LUERLOCK 1.5MM DIAME
BLOOD GASES W/02 SATURATION,Laboratory,0.9,BLOOD GASES W/O2 SATURATION
MILRINONE INJ BULK 1 MG/ML,Pharmacy,0.76,MILRINONE 1 MG/ML SOLN 20 ML
PLEXUS MATTRESS,Laboratory,0.74,LIPASE  SERUM
ROOM 00 T,Room and Board,0.87,ROOM 5005
CLIP J&J LT102 LIGACLIP T_309195,Supply,0.66,CLIP APPLIER LG MCL20 DISP
BLOOD TYPING RH D,Laboratory,1,BLOOD TYPING RH D
TUBING HEPARIN BONDED 0.3_402023,Supply,0.71,TUBING IV
PTT PLASMA OR WHOLE BLOOD,Laboratory,0.81,LAB-SODIUM (WHOLE BLOOD)
ACETAMINOPHEN TAB 325 MG,Pharmacy,0.98,ACETAMINOPHEN TAB 325MG U
GRAFT GORTEX STRETCH THIN_18795,PT / OT / Speech Therapy,0.67,OT SLF CARE/HOME MGT TRAIN EA 15M
WARFARIN TAB 2 MG,Pharmacy,0.91,WARFARIN 2 MG TABS
DISP. TRANSDUCER,Supply,0.79,TRANSDUCER
DIPYRIDAMOLE TAB 50 MG,Pharmacy,0.79,MIDODRINE HCL TAB 5MG
EPINEPHRINE 2MG/D5W 250ML,Pharmacy,0.86,EPINEPHRINE INJ 2.5 MG/2.5 ML
CHEST FRONTAL SINGLE VIEW,Radiology,0.85,CHEST SINGLE VIEW
OT SELF-CARE/HOME MGMT TRAINING,PT / OT / Speech Therapy,0.79,OT SLF CARE/HOME MGT TRAIN EA 15M
CANNULA PERFUSION ART OP_344475,Supply,0.73,PUNCH AORTIC # AP-444
SUT PROLENE 8557H 4-0 DA _9120,Supply,0.71,SUTURE 5-0 PROLENE M8725
SPIRONOLACTONE TAB 12.5MG/0.5 TB,Pharmacy,0.86,SPIRONOLACTONE 25 MG TAB
ABG/O2-,Laboratory,0.83,ABO
TEMP ALT 1_331211,Pharmacy,0.66,TPN ADULT
DIPHENHYDRAMINE CAP 25 MG,Pharmacy,0.94,DIPHENHYDRAMINE 25 MG CAPS
LIDOCAINE PATCH %5,Pharmacy,0.88,LIDOCAINE 5% TOP PATCH
COMPL AUTOM CBC W PLT,Laboratory,0.86,COMPL CBC W PLT W AUTOM
GLUE BIO SURG ADHESIVE SO_107604,Laboratory,0.7,LDH
PENTOXIFYLLINE OR SUS 400MG/20ML,Pharmacy,0.73,FENTANYL PER 0.1 MG
ROOM 12 C,Room and Board,0.79,ROOM E621 8
DIGOXIN TAB 125 MCG-,Pharmacy,0.83,DIGOXIN 0.125 MG TABS
PLT AGGREGATION IN VITRO EA AGNT,Pharmacy,0.72,PRENATAL VITAMIN WTH IRON TABS
FOLIC ACID TAB 1 MG-,Pharmacy,0.94,FOLIC ACID TAB 1MG U/D
PATCH MEMBRANE PERICARDIA_18742,Pharmacy,0.69,PROCAINAMIDE PER 1 G
FENTANYL IV SYR 250MCG/UNDIL 5ML,Pharmacy,0.84,FENTANYL 50MCG/ML 5ML
PACK MAJOR LP_249149,Implant,0.66,COMP PATELLAR 41MM
CLIP LIGATING TITANIUM ME_130030,Laboratory,0.7,PTT
PT THERAPEUTIC EXERCISE EA 15 MI,PT / OT / Speech Therapy,0.9,OT THERAPEUTIC EXERCISE 15 MIN
VANCOMYCIN/NS IN BK 1.25GM/250ML,Pharmacy,0.79,VANCOMYCIN 1 GM/200ML SOLN
VANCOMYCIN,Laboratory,1,VANCOMYCIN
SUT PROLENE 8843H 2-0 DA _9169,Supply,0.69,SUTURE 3-0 ETHILON 1691H
KCL 20 MEQ/SWFI 100 ML,Pharmacy,0.73,KCL 20MEQ ST H 2O
ONDANSETRON INJ 4 MG/2 ML,Pharmacy,0.92,ONDANSETRON 4 MG/2 ML INJ
MAG SULF BG 4GM/NS 100ML(FOR OC),Pharmacy,0.7,MAG SULFATE 4 G/WATER INJ 100M
RBC AB SCRN EA TECHIQ,Laboratory,0.75,ANTIBODY SCREEN RBC EACH SERUM
ROOM 26 I,Room and Board,0.87,ROOM W260
DOCUSATE SOLN UDCUP 100MG/10ML,Pharmacy,0.85,DOCUSATE SODIUM 100 MG C
FLUCONAZOLE ORAL SUSP BULK,Pharmacy,0.79,FLUCONAZOLE 2 MG/ML PGBK
KIT THORA 20150068 RETURN_387176,Respiratory Therapy,0.69,O2
CARDIAC SURGERY - OR,Monitoring,0.73,CARDIAC MONITOR PER DAY
NICARDIPINE INJ BULK 2.5 MG/ML,Pharmacy,0.78,NICARDIPINE-NACL 40MG/200ML SO
APPLICATOR CHLORAPREP HI-_314571,Supply,0.7,HB APPLICATOR CHLORAPREP SINGLE S
CONNECTOR STRAIGHT .375*._104759,Laboratory,0.7,TSH
POTASSIUM CHLORIDE ERTAB 10 MEQ,Pharmacy,0.91,POTASSIUM CHLORIDE PER 2 MEQ
HGB PLASMA,Blood Products,0.76,PLASMA THAW
CATHETER IRRIG BARDEX 22F_2311,Supply,0.73,CATHETER CARDIAC
FFP 8-24 HRS OF COLLECT EA UNIT,Supply,0.71,CATH FOR COLLECT SINGLE PT
EPINEPHRINE INJ BULK 1 MG/ML,Pharmacy,0.83,EPINEPHRINE 1 MG/ML SOLN
ATROPINE SYR 1 MG/10 ML-,Pharmacy,0.81,ATROPINE 1 MG/ML SOLN
CANNULA TROCAR REUSABLE I_224251,Supply,0.71,CANNULA AOR ROOT # 10
HEPARIN IV BAG 1000U/NS 500ML,Pharmacy,0.86,HEPARIN 10000 UNTS/10ML V
HBG METHEMOGLOBIN QUAN,OR / Anesthesia / Recovery Room,0.88,HCHG METHEMOGLOBIN QN
TRAY DRY SKIN PREP_226663,Supply,0.67,DRSG TRANPAR
RIFAMPIN INJ 600 MG/10 ML,Pharmacy,0.75,AMNIOFIX INJ 160MG AI-5200
CMV ANTIBODY,Laboratory,0.82,ANTIBODY SCR
SODIUM CHLORIDE TAB BULK 1 GM,Diluent / Flush / Irrigant,0.86,SODIUM CHLORIDE
HYDROMORPHONE SYR 1MG,Pharmacy,0.86,HYDROMORPHONE 1MG/ML 1ML
TEE,Supply,0.83,TUBE ET
PENTOXIFYLLINE ERTAB 400 MG-,Pharmacy,0.76,FENTANYL PER 0.1 MG
SPIRONOLACTONE TAB 25 MG-,Pharmacy,0.95,SPIRONOLACTONE 25 MG TAB
SUTURE PROLENE 6-0 BV-1 B_9158,Supply,0.73,SUTURE 5-0 PROLENE M8725
LIDOCAINE HCL 2% INJ 400MG/20ML,Pharmacy,0.85,LIDOCAINE HCL 10MG-1%20 ML INJ
OCULAR LUBRICANT OPHTH OIN 3.5GM,Supply,0.82,OCULAR LUBRICANT PF 0.9ML
ROOM 05 I,Room and Board,0.87,ROOM 8105
TUBE CHEST THORACIC PVC 3_135813,Supply,0.74,TUBE ET
"HIGH FLOW TX, INITL DAY 12+ HRS",Respiratory Therapy,0.74,HIGH FLOW THERAPY
SUT VICRYL UND J442H 3-0 _9318,Supply,0.69,SUT ETHILON 2 0 FS 18
VASOPRESSIN 50 UNITS/NS 250 ML,Pharmacy,0.85,VASOPRESSIN 20UNITS/ML INJ
MIDAZOLAM INJ 2 MG/2 ML,Pharmacy,0.91,MIDAZOLAM 2MG/2ML INJ
FEMORAL DRAPE,Supply,0.73,FORMULA: PEDIASURE PEPTIDE
PRENATAL VITAMIN/FOLIC ACID TAB,Pharmacy,0.81,PRENATAL VITAMIN WTH IRON TABS
INTERNAL TRANSPORT STAT,Respiratory Therapy,0.72,INHALATION TREATMENT
BLADE ELECTRODE EXTENDED_4286,Supply,0.7,LIMB BAND ELECTRODE (SCN)
SODIUM CHLORIDE IVBG 0.9% 100ML,Diluent / Flush / Irrigant,0.95,SODIUM CHLORIDE 0.9% 100ML
ADENOSINE INJ 6 MG/2ML,Pharmacy,0.76,NEOSTIGMINE 5MG/ML INJ
ROOM 04 T,Room and Board,0.84,ROOM 0473 A
CHARGER HEARTWARE 1600US _379603,OR / Anesthesia / Recovery Room,0.67,CHARGE FOR PREOP CARE
PILLOW DISP 20OZ 19X25_315527,Respiratory Therapy,0.69,O2
BAG BLOOD TRANSFER_4092,Laboratory,0.7,ALDOSTERONE
ATORVASTATIN TAB 40 MG,Pharmacy,0.9,ATORVASTATIN 40MG TABLET
INSULINREG(HUMAN)INJ BLK100UN/ML,Pharmacy,0.83,INSULIN REGULAR 100UN/ML INJ 3
BANDAGE SURGICAL ABSORBAB_235883,Supply,0.72,BANDAGE SCISSORS
ROCURONIUM SYR 100MG/10ML,Pharmacy,0.86,ROCURONIUM 50MG/5ML
PT EVAL - 38-52 MIN,PT / OT / Speech Therapy,0.85,PT EVAL 30 MIN GP
MULTIPLE VITAMIN THERAPEUTIC TB,Pharmacy,0.74,MULTIVITAMIN-IRON DROP
OT EVAL NEW PATIENT 23-37 MIN,PT / OT / Speech Therapy,0.74,OT EVAL INTERMEDIATE
CONNECTOR REDUCING ST .5*_103521,Supply,0.7,CANNISTER SUCTION RIGID 1500ML
DRAIN SALEM SUMP ANTIREFL_10263,Laboratory,0.7,HB RENAL PANEL
TUBE CHEST THORACIC FIRM _299783,Supply,0.74,TUBE ET
CULTURE P PATHOG - SCREEN,Laboratory,0.79,CULTURE OTHER SOURCE
SPONTANEOUS MECHANICS-,Room and Board,0.73,SPC - NEONATE ICU
SUT PROLENE 8706H 6-0 DA _9147,Supply,0.67,SUTURE 3-0 ETHILON 1691H
TROPONIN QUAN,Laboratory,0.97,TROPONIN QUANT
DOBUTAMINE 500MG/D5W250 ML,Pharmacy,0.77,KETAMINE 500MG/5ML
AMINOCAPROIC ACID IJ 5000MG/20ML,Pharmacy,0.93,AMINOCAPROIC ACID 5000MG/
DIPYRIDAMOLE TAB 25 MG,Pharmacy,0.79,MIDODRINE HCL TAB 5MG
"BACITRACIN IRRI 50,000UNITS",Pharmacy,0.88,BACITRACIN IN 50000 U
TUBE CHEST RIGHT ANGLE PV_1833,Supply,0.75,TUBE ET
SEALANT SURGICAL COSEAL 8_192327,Supply,0.7,CAN SUCT
PUMP VAD BLOOD CENTRIMAG_341706,Capital Equipment,0.73,PUMP IV ARM
STP COV EGIAUSHORT SHT UL_403748,Supply,0.69,SHEATH
MAG SULF BG 2GM/NS 100ML(FOR OC),Pharmacy,0.69,MAG SULFATE 4 G/WATER INJ 100M
FUROSEMIDE INJ 40 MG/4 ML-,Pharmacy,0.98,FUROSEMIDE INJ 40MG 4ML
ADAPTER HEARTWARE 1435 DC_379609,Laboratory,0.7,PTT
PAD GROUND ADT 10 FT_339827,Supply,0.71,PAD GROUNDING ADULT E7507 - CSC
PACK WAIST HEARTWARE_391400,Supply,0.74,KIT ET
SODIUM CHLORIDE IVBG 0.9% 250ML,Diluent / Flush / Irrigant,0.95,SODIUM CHLORIDE 0.9% 250ML
MILRINONE IV BAG 20MG/100ML,Pharmacy,0.75,VORICONAZOLE INJ 10MG/ML
C DIFF AMPLIFIED PROBE,Laboratory,1,C DIFF AMPLIFIED PROBE
KIT CANNISTR INFOVAC W/O _333116,Diluent / Flush / Irrigant,0.69,NS
DRAIN CHEST OASIS SINGLE _13352,OR / Anesthesia / Recovery Room,0.7,HC CATEGORY 3 INITIAL 15 MIN
DESMOPRESSIN INJ 4 MCG/1 ML,OR / Anesthesia / Recovery Room,0.78,DESMOPRESSIN 4 MCG/ML INJECTION SOLUTION
BAG HEARTWARE 2000US SHOW_379610,Plan Benefit,0.65,ANTITHROM REC 100-NDC04297612102
DRESSING FOAM VAC SOFT 10_296572,Supply,0.71,DRESSING FOAM HYDRCELL 5AL
ELECTRODE QUIK COMBO ADUL_256151,Supply,0.8,ELECTRODE AD
BOVIE TIP COVERED_206908,Supply,0.69,BOVIE TIP BLADE 0014 LONG TEFL
PW/CW DOPPLER (LIMITED),Cardiology,0.76,PVR/DOPPLER MULT LEVE
CLINICAL SURGICAL PROCEDURE STAT,Supply,0.74,GLYCERIN (CHILD) RECTAL SUPPOSITORY
METOLAZONE TAB 5 MG,Pharmacy,0.86,13729022 - METOLAZONE TABLET 5MG
NOREPINEPHRINE 8MG/D5W 500ML,Pharmacy,0.9,NOREPINEPHRINE 8MG/NS 250 ML K
CONNECTOR Y .375* . 375*.37_98223,Supply,0.7,CONNECTOR 3/8 X 3/8 ST.
BLADE STERNUM SAW 6.1X32_16341,Supply,0.69,BLADE SAW 2 CUT STRL
CEFAZOLIN INJ 1 GM/4.5 ML,Pharmacy,0.83,CEFAZOLIN 500MG/5ML INJ
JUGS OMNI 15000CC_13081,Diluent / Flush / Irrigant,0.71,SOL N/S 100 CC
SHEET THREE QUARTER REINF_221238,Supply,0.68,SHEATH
AMIODARONE TAB 200 MG,Pharmacy,0.93,AMIODARONE 200MG TAB
CAL. GLUCONAT/NS IN BK 2GM/100ML,Diluent / Flush / Irrigant,0.72,NACL 0.9% MINI BAG PLUS 100ML
ADAPT PEN TUBING .375*24 _219403,Laboratory,0.71,PTT
COTTON FELT TEFLON BARD 6_2449,Supply,0.66,FA BOOT ANKLE CONTRACTURE MED
CLIPPER SURGICAL BLADE HE_245557,Laboratory,0.68,LIPASE
SOLN NACL .9% IRRIGATING _2658,Diluent / Flush / Irrigant,0.72,SOLN .9% NACL
ADENOS 40MG/LIDO 40MG/MAG 4GM/NS,Diluent / Flush / Irrigant,0.69,NS
POLYETHYLEN GLYCOL 3350 PWD 17GM,Pharmacy,0.93,POLYETHYLENE GLYCOL PWD 17G
FUROSEMIDE INJ BULK 10 MG/ML,Pharmacy,0.85,FUROSEMIDE 10 MG/ML INJ 2ML
KETAMINE INJ 200 MG/20 ML,Pharmacy,0.87,KETAMINE 500MG/5ML
ENDOTRACHEAL TUBE CARE-,Supply,0.84,ENDOTRACH TUBE HOLDER
CATH TRAY-,Supply,0.86,CATH TRAY (NO CATH)
DECALCIFICATION,Laboratory,0.88,DECALCIFICATION PROCEDURE
BOOTIE SUTURE YELLOW 5PR_13707,Supply,0.69,BOOT SUTURE
PLATELETS PHERESIS LR EA UNIT,Blood Products,0.82,PLATELET APH  LR  UNIT
PANORAMIC X-RAY OF JAWS,Pharmacy,0.69,PANTO INJ
ADHESIVE CRYOL BIOGLUE CA_320741,Supply,0.69,PAD ELECTRO REM SAFE 60941
INTUBATION ASSIST OR EXTUBATION,Respiratory Therapy,0.79,INTUBATION
CONN TUBING HEPARIN BONDE_402024,Plan Benefit,0.69,NICOTINE PATCHNONLEGEN
SUTURE PROLENE 7-0 BV1756_216398,Supply,0.76,SUTURE 5-0 PROLENE M8725
KIT SPRAY APPILCATOR ACCE_226887,Respiratory Therapy,0.7,VITAL CAPACITY (FC)
SOLIDIFIER DISPOSAL WASTE_352179,Pharmacy,0.67,INSULIN LISPRO DOSE
SUTURE SURGIPRO 7-0 CV1 D_172182,Supply,0.68,SUTURE SILK 0 CT-2 CR
TUBE CHEST RIGHT ANGLE PV_1832,Supply,0.75,TUBE ET
ECHO 2D/M MODE (LIMIT) W/O CONTR,Cardiology,0.76,ECHO 2D W/W/O M MODE LTD
PROTAMINE INJ 250 MG/25 ML,Pharmacy,0.81,FAMOTIDINE 20MG/2ML
APPLICATOR TIP BIOGLUE_107607,Laboratory,0.71,PTT
FENTANYL INJ 100 MCG/2 ML,Pharmacy,0.9,FENTANYL 100 MCG/2 ML INJ
SET SORIN PROCEDURE BX/22_398000,Supply,0.72,SENSOR DEPTH BIS 186-0100
MUPIROCIN OINT 2% 22 GM,Pharmacy,0.9,MUPIROCIN OINT 22GM TUBE
BLANKET BAIR HUGGER LOWER_1840,Supply,0.83,BLANKET BAIR HUGGER UPPER BODY
LIDOCAINE HCL 1% SYR 50 MG/5 ML,Pharmacy,0.88,LIDOCAINE HCL 10 MG
CLIPPER BLADE ASSEMBLY RO_472,Pharmacy,0.7,LIPASE-PROTEASE-AMYLASE 20
LACTATE,Laboratory,1,LACTATE
DESMOPRESSIN INJ BULK 4 MCG/ML,OR / Anesthesia / Recovery Room,0.78,DESMOPRESSIN 4 MCG/ML INJECTION SOLUTION
"END TIDAL C02 MONITOR, INITL DAY",Monitoring,0.81,END TIDAL C02
TEE W/O CONTRAST,Radiology,0.76,CT HEAD WO CONTRAST
TUBE SUCTION CONNECTING ._245273,Respiratory Therapy,0.72,SUCTIONING
PLATELETS PHERES LR IRRAD EA UNT,Blood Products,0.82,PLATELET APH  LR  UNIT
DIGOXIN TAB 250 MCG,Pharmacy,0.83,DIGOXIN 0.125 MG TABS
FUROSEMIDE INJ 20 MG/2 ML-,Pharmacy,0.92,FUROSEMIDE INJ 40MG 4ML
POT. PHOSPHATE INJ BLK 3 MMOL/ML,Pharmacy,0.76,POTASSIUM PHOSPHATE 3 MMOL
