Original Description,Charge Class,Confidence Score,Matches,Counts
DOCUSATE CAP 100MG,Pharmacy,0.86,"DOCUSATE10ML LQ+, DOCUSATE 50MG/CAP UD, DOCUSATE 100MG CAP, DOCUSATE SODIUM 100 MG C, DOCUSATE NA 100MG CP, DOCUSATE 100 MG CAP",6
RANITIDINE TAB 150 MG -,Pharmacy,0.81,RANITIDINE 15 MG/ML SYRP,1
PLEDGET .625*.25_107759,,,,0
PANTOPRAZOLE ERTAB 40 MG-,Pharmacy,0.8725,"PANTOPRAZOLE 40 MG SOLR 1 EACH VIAL, PANTOPRAZOLE 40 MG SOLR, PANTOPRAZOLE 40 MG TBEC, PANTOPRAZOLE 40MG EC T, PANTOPRAZO 40MG ECTB, PANTOPRAZOLE 40 MG INJ, PANTOPRAZOLE 40 MG TAB, PANTOPRAZOLE 40 MG TAB DR",8
COMPREHEN METABOLIC PANEL,Laboratory,0.8337500000000001,"HC COMPREHENSIVE METABOLIC PANEL, COMPREH METABOLIC PANEL, COMP METABOLIC PANEL, COMPREHENSIVE METABOLIC P, *COMPREHENSIVE METABOLIC PANEL, 63528001 - COMPREHENSIVE METABOLIC PANEL, COMPREHENSIVE MET PANEL, COMPREHENSIVE METABOLIC PANEL",8
DRESS WOUND TEGADERM W/ P_342228,,,,0
POTASSIUCHLOR SOLN CUP40MEQ/30ML,Pharmacy,0.8,POTASSIUM CHLOR 10 MEQ/50 ML I,1
COAG TIME ACTIVATED,,,,0
CHLORHEXIDINE GLUCONAT MWSH 15ML,"Supply, Pharmacy",,"CHLORHEXIDINE GLUCONATE 4 % LIQD, CHLORHEXIDINE GLUCONATE 0.12 % MWSH, CHLORHEXIDINE ORAL RINSE 15ML",3
CONNECTOR CARDIO 1-1 BLAK_228751,,,,0
BLOOD GASES W/02 SATURATION,Laboratory,0.89,"BLOOD GASES W/O2 SATURATION, BLOOD GASES W O2 SATURATION",2
MILRINONE INJ BULK 1 MG/ML,,,,0
PLEXUS MATTRESS,,,,0
ROOM 00 T,Room and Board,0.87,"ROOM 5005, ROOM NI00",2
CLIP J&J LT102 LIGACLIP T_309195,,,,0
BLOOD TYPING RH D,Laboratory,0.8846666666666668,"HC BLOOD TYPING ABO, HC BLOOD TYPING RH D, HC BLOOD TYPING RH(D), BLD TYPING RH D, BLOOD TYPE RH (D), BLOOD TYPE RH I, BLOOD TYPING ABO 1, BLOOD TYPING RH D, BLOOD TYPING SEROLOGIC RH, HC BLOOD TYPING RH (D), ABO BLOOD TYPING, ABO TYPING, LAB BLOOD TYPING RH, BLOOD TYPING RH D T1 NEWBORN PROFILE, HCHG BLOOD TYPING RH D ",15
TUBING HEPARIN BONDED 0.3_402023,,,,0
PTT PLASMA OR WHOLE BLOOD,Laboratory,0.805,"HB POTASSIUM WHOLE BLOOD, LAB-SODIUM (WHOLE BLOOD)",2
ACETAMINOPHEN TAB 325 MG,Pharmacy,0.8866666666666666,"ACETAMINOPHEN 120 MG SUPP, ACETAMINOPHEN 160 MG/5 ML, ACETAMINOPHEN 325 MG TABS, ACETAMINOPHEN 80 MG SUPP, ACETAMINOPHEN 320 MG/ML SO, ACETAMINOPHEN 500 MG TAB, ACETAMINOPHEN 32 MG/ML SUSP, ACETAMINOPHEN 325MG TAB, ACETAMINOPHEN 325 MG TAB, ACETAMINOPHEN 325 MG TABLET, ACETAMINOPHEN 325MG, ACETAMINOPHEN TAB 325MG U",12
GRAFT GORTEX STRETCH THIN_18795,,,,0
WARFARIN TAB 2 MG,Pharmacy,0.85,"WARFARIN 3 MG TABS 1 EAC, WARFARIN 10 MG TABS 1 EA, WARFARIN 10 MG TABS, WARFARIN 2 MG TABS, WARFARIN 2.5 MG TABS 1 E, WARFARIN 7.5 MG TABS, WARFARIN 5 MG TABS, WARFARIN 5 MG TABS 1 EAC",8
DISP. TRANSDUCER,,,,0
DIPYRIDAMOLE TAB 50 MG,,,,0
EPINEPHRINE 2MG/D5W 250ML,Pharmacy,0.8224999999999999,"EPINEPHRINE 1 MG/ML SOLN, EPINEPHRINE 1 MG/ML SOLN 3, EPINEPHRINE 1 MG/1 ML PF INJ, EPINEPHRINE INJ 2.5 MG/2.5 ML",4
CHEST FRONTAL SINGLE VIEW,Radiology,0.85,CHEST SINGLE VIEW,1
OT SELF-CARE/HOME MGMT TRAINING,,,,0
CANNULA PERFUSION ART OP_344475,,,,0
SUT PROLENE 8557H 4-0 DA _9120,,,,0
SPIRONOLACTONE TAB 12.5MG/0.5 TB,Pharmacy,0.82,"SPIRONOLACTONE 25 MG TAB 500 EACH BOTTLE, SPIRONOLACTONE 5 MG/ML SUS, SPIRONOLACTONE 25 MG TAB",3
ABG/O2-,Laboratory,0.83,ABO,1
TEMP ALT 1_331211,,,,0
DIPHENHYDRAMINE CAP 25 MG,Pharmacy,0.875,"DIPHENHYDRAMINE 50 MG CAP, DIPHENHYDRAMINE 50MG/ML INJ, DIPHENHYDRAMI25MG CP, HB DIPHENHYDRAMINE 12.5MG/5ML, DIPHENHYDRAMINE 25 MG CAPS, DIPHENHYDRAMINE 50 MG/ML SOLN",6
LIDOCAINE PATCH %5,Pharmacy,0.845,"LIDOCAINE 5% TOP PATCH, LIDOCAINE 1% 50ML",2
COMPL AUTOM CBC W PLT,Laboratory,0.86,COMPL CBC W PLT W AUTOM,1
GLUE BIO SURG ADHESIVE SO_107604,,,,0
PENTOXIFYLLINE OR SUS 400MG/20ML,,,,0
ROOM 12 C,,,,0
DIGOXIN TAB 125 MCG-,"Laboratory, Pharmacy",,"DIGOXIN, DIGOXIN 0.125 MG TABS",2
PLT AGGREGATION IN VITRO EA AGNT,,,,0
FOLIC ACID TAB 1 MG-,Pharmacy,0.925,"FOLIC ACID 1 MG TABS, FOLIC ACID TAB 1MG U/D",2
PATCH MEMBRANE PERICARDIA_18742,,,,0
FENTANYL IV SYR 250MCG/UNDIL 5ML,Pharmacy,0.8140000000000001,"FENTANYL 250MCG/5ML INJ, FENTANYL 50MCG/ML 5ML, FENTANYL 250 MCG/5 ML INJ, FENTANYL 250MCG/5ML BD SYRINGE, FENTANYL 50 MCG/ML SOLN 2",5
PACK MAJOR LP_249149,,,,0
CLIP LIGATING TITANIUM ME_130030,,,,0
PT THERAPEUTIC EXERCISE EA 15 MI,PT / OT / Speech Therapy,0.86,"OT THERAPEUTIC EXERCISE 15 MIN, PT THERAPEUTIC ACTIV PAT EA 15M",2
VANCOMYCIN/NS IN BK 1.25GM/250ML,,,,0
VANCOMYCIN,"Laboratory, Pharmacy",,"VANCOMYCIN 1 GM/200ML SOLN, VANCOMYCIN 1GM/10ML INJ, VANCOMYCIN 50 MG/ML SOLR, VANCOMYCIN PER 500 MG, VANCOMYCIN QUANT, VANCOMYCIN, VANCOMYCIN 50 MG/ML SOLR 1, VANCOMYCIN HCL 500 M, VANCOMYCIN 1, VANCOMYCIN 500 MG INJ, HC VANCOMYCIN, VANCOMYCIN 1GM INJ, VANCOMYCIN 1 GRAM/200 ML PGBK, VANCOMYCIN 500MG INJ, 69892001 - VANCOMYCIN, VANCOMYCIN HCL. 500 MG-INJ, VANCOMYCIN LEVEL, VANCOMYCIN HCI 500 MG, HB VANCOMYCIN SINGLE LEVEL, VANCOMYCIN  RANDOM (VANCR), VANCOMYCIN 1 GM IVPB, VANCOMYCIN 1G/D5W 200ML, VANCOMYCIN 500 MG IVPB, VANCOMYCIN HCL 500 MG, VANCOMYCIN-RANDOM, VANCOMYCIN TROUGH",26
SUT PROLENE 8843H 2-0 DA _9169,,,,0
KCL 20 MEQ/SWFI 100 ML,,,,0
ONDANSETRON INJ 4 MG/2 ML,Pharmacy,0.8636363636363636,"ONDANSETRON 2 MG/ML SOLN, ONDANSETRON 4 MG/2 ML INJ, ONDANSETRON 4 MG/2ML SOLN, ONDANSETRON 4 MG/2 ML SOLN, ONDANSETRON 1 MG INJ, ONDANSETRON 4MG/2ML INJ, ONDANSETRON 4 MG TABS, ONDANSETRON 4 MG TBDL, ONDANSETRON 1MG INJ, ONDANSETRON 4 MG VL, ONDANSETRON HCL 1 MG INJ",11
MAG SULF BG 4GM/NS 100ML(FOR OC),,,,0
RBC AB SCRN EA TECHIQ,,,,0
ROOM 26 I,Room and Board,0.87,ROOM W260,1
DOCUSATE SOLN UDCUP 100MG/10ML,Pharmacy,0.8283333333333333,"DOCUSATE SODIUM 100MG CAP, DOCUSATE SODIUM 100 MG C, DOCUSATE SODIUM 100MG U/D, DOCUSATE SODIUM 100 MG CAPSULE, DOCUSATE SODIUM 10ML, DOCUSATE SODIUM 100 MG CAPS",6
FLUCONAZOLE ORAL SUSP BULK,,,,0
KIT THORA 20150068 RETURN_387176,,,,0
CARDIAC SURGERY - OR,,,,0
NICARDIPINE INJ BULK 2.5 MG/ML,,,,0
APPLICATOR CHLORAPREP HI-_314571,,,,0
CONNECTOR STRAIGHT .375*._104759,,,,0
POTASSIUM CHLORIDE ERTAB 10 MEQ,Pharmacy,0.8392857142857141,"POTASSIUM CHLOR 10 MEQ/50 ML I, POTASSIUM CHLORIDE 10 MEQ/100 ML PGBK, POTASSIUM CHLORIDE 10 MEQ/100ML SOLN, POTASSIUM CHLORIDE 10% 30ML LI, POTASSIUM CHLORIDE 2 MEQ/M, POTASSIUM CHLORIDE 2 MEQ/ML SOLP, POTASSIUM CHLORIDE IN STERILE WATER 40 MEQ/100 ML PGBK, POTASSIUM CHLORIDE PREMIXE, POTASSIUM CHLORIDE PREMIXED 20 MEQ/50 ML BAG PG, POTASSIUM CHLORIDE SA 20 MEQ TBCR, POTASSIUM CHLORIDE SR 20MEQ TA, POTASSIUM CL ER TAB 2, POTASSIUM CHLOR 20 MEQ PO, POTASSIUM CHLORIDE 20MEQ/15ML, POTASSIUM CHLORIDE LIQ 1.33MEQ, POTASSIUM CHLORIDE 10 ME, POTASSIUM CHLORIDE SA 20, POTASSIUM CHLORIDE 10 MEQ TABLET SUSTAINED RELE, POTASSIUM CHLORIDE 20MEQ TAB S, 14530572 - POTASSIUM CHLORIDE  PER 2 MEQ, 14530592 - POTASSIUM CHLORIDE  PER 2 MEQ, POTASSIUM CHLOR 20 MEQ SR, POTASSIUM CHLOR 20 MEQ/100, POTASSIUM CHLOR 20 MEQ/50, POTASSIUM CHLORIDE 2 MEQ INJ, POTASSIUM CHLORIDE 20 MEQ/15ML (10%), POTASSIUM CHLORIDE INJECTION PER 2 MEQ, POTASSIUM CHLORIDE PER 2 MEQ",28
HGB PLASMA,,,,0
CATHETER IRRIG BARDEX 22F_2311,,,,0
FFP 8-24 HRS OF COLLECT EA UNIT,,,,0
EPINEPHRINE INJ BULK 1 MG/ML,Pharmacy,0.8225,"EPINEPHRINE 1 MG/ML SOLN, EPINEPHRINE 1 MG/ML SOLN 3, EPINEPHRINE 1 MG/1 ML PF INJ, EPINEPHRINE INJ 2.5 MG/2.5 ML",4
ATROPINE SYR 1 MG/10 ML-,Pharmacy,0.81,ATROPINE 1 MG/ML SOLN,1
CANNULA TROCAR REUSABLE I_224251,,,,0
HEPARIN IV BAG 1000U/NS 500ML,Pharmacy,0.8333333333333334,"HEPARIN 1000 UNIT (50, HEPARIN INJ 1000U (50, HEPARIN 10000 UNTS/10ML V",3
HBG METHEMOGLOBIN QUAN,"Laboratory, OR / Anesthesia / Recovery Room",,"HB HEMOGLOBIN, HCHG METHEMOGLOBIN QN",2
TRAY DRY SKIN PREP_226663,,,,0
RIFAMPIN INJ 600 MG/10 ML,,,,0
CMV ANTIBODY,Laboratory,0.82,ANTIBODY SCR,1
SODIUM CHLORIDE TAB BULK 1 GM,"Respiratory Therapy, Diluent / Flush / Irrigant, Supply",,"SODIUM CHLOR, SODIUM CHLORI, SODIUM CHLORID, SODIUM CHLORIDE, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE 10 ML SYR, SODIUM CHLORIDE 3 % NEBU, SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG, SODIUM CHLORIDE 7 % NEBU",16
HYDROMORPHONE SYR 1MG,Pharmacy,0.8308333333333334,"HYDROMORPHONE 1 MG/1 ML INJ, HYDROMORPHONE 1 MG/ML SOLN, HYDROMORPHONE 2 MG/ML SOLN, HYDROMORPHONE 2 MG/ML SOLN 1 ML, HYDROMORPHONE INJ * UP TO 4MG, HYDROMORPH UP TO 4 MG, HYDROMORPHONE PF 2 MG/ML SOLN, HYDROMORPHONE 1MG/ML INJ., HYDROMORPH UP TO 4MG, HYDROMORPHONE 1MG/ML 1ML, HYDROMORPHONE 2 MG INJ, HYDROMORPHONE UP TO 4 MG INJ",12
TEE,Supply,0.83,TUBE ET,1
PENTOXIFYLLINE ERTAB 400 MG-,,,,0
SPIRONOLACTONE TAB 25 MG-,Pharmacy,0.8599999999999999,"SPIRONOLACTONE 25 MG TAB 500 EACH BOTTLE, SPIRONOLACTONE 5 MG/ML SUS, SPIRONOLACTONE 5MG/1ML ORAL, SPIRONOLACTONE 25 MG TAB",4
SUTURE PROLENE 6-0 BV-1 B_9158,,,,0
LIDOCAINE HCL 2% INJ 400MG/20ML,Pharmacy,0.8266666666666667,"LIDOCAINE HCL 10MG-1%20 ML INJ, LIDOCAINE 1% 20 ML INJ, LIDOCAINE HCL 10 MG",3
OCULAR LUBRICANT OPHTH OIN 3.5GM,Supply,0.82,OCULAR LUBRICANT PF 0.9ML,1
ROOM 05 I,Room and Board,0.8280000000000001,"ROOM 8105, ROOM 0779 I, ROOM 5005, ROOM 5011, ROOM NI00",5
TUBE CHEST THORACIC PVC 3_135813,,,,0
"HIGH FLOW TX, INITL DAY 12+ HRS",,,,0
SUT VICRYL UND J442H 3-0 _9318,,,,0
VASOPRESSIN 50 UNITS/NS 250 ML,Pharmacy,0.8275,"VASOPRESSIN 20 UNIT/ML SOL, VASOPRESSIN 20UNITS/ML INJ, VASOPRESSIN 100 UNITS IN 1, VASOPRESSIN 20 UNIT INJ",4
MIDAZOLAM INJ 2 MG/2 ML,Pharmacy,0.8380000000000001,"MIDAZOLAM 2 MG/2 ML INJECTION, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/ML SOLN 2 M, MIDAZOLAM 5MG/5ML INJ, MIDAZOLAM 50MG VL, MIDAZOLAM 2MG/2ML VIAL, MIDAZOLAM 2MG/2ML INJ, MIDAZOLAM 2 MG INJ, HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN, MIDAZOLAM HCL 1 MG INJ",10
FEMORAL DRAPE,,,,0
PRENATAL VITAMIN/FOLIC ACID TAB,Pharmacy,0.81,PRENATAL VITAMIN WTH IRON TABS,1
INTERNAL TRANSPORT STAT,,,,0
BLADE ELECTRODE EXTENDED_4286,,,,0
SODIUM CHLORIDE IVBG 0.9% 100ML,"Diluent / Flush / Irrigant, Supply, Pharmacy",,"0.9% SODIUM CHLORIDE 0.9 % SOLN, HB SODIUM CHLORIDE 0.9% 10ML SYRN, SOD CHLOR 0.9%, SODIUM CHL 0.9% INJ 100ML, SODIUM CHLOR, SODIUM CHLOR INJ 100 M, SODIUM CHLORI, SODIUM CHLORID, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE .9% INJ 1, SODIUM CHLORIDE .9% INJ 2, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.45%, SODIUM CHLORIDE 0.45% FLUS, SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % 0.9 % PGBK 100 ML ADDVANTAGE, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9 % SOLP, SODIUM CHLORIDE 0.9% 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML 0264-1800-32, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 250ML I, SODIUM CHLORIDE 0.9% 250ML IV, SODIUM CHLORIDE 0.9% 25ML, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% 50ML 5 0264-1800-31, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% 50ML MB+, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% IV, SODIUM CHLORIDE 0.9% IVPB  5, SODIUM CHLORIDE 0.9% QS BASE, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLN HPH0-0000-30, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% SYRG, SODIUM CHLORIDE 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE 10 ML SYR, SODIUM CHLORIDE INJ 0.9%, SODIUM CHLORIDE PER 250 ML, SODIUM CL 0.9% 100ML V, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% SOLP 500 ML FLEX CONT, SODIUM CHLORIDE IRRIGATION 0.9 % SOLN 1 000 ML BOTTLE, SODIUM CHLORIDE PER 500 ML, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE 0.9% 3ML INHA, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG, SODIUM CHLORIDE 3% 500ML, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHL 0.9% 100ML, SODIUM CHLORIDE 0.9% 250ML, SODIUM CHLORIDE 0.9% 0.9 % SOLP 1 000 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE, SODIUM CHLORIDE 0.9 % SYRINGE",87
ADENOSINE INJ 6 MG/2ML,,,,0
ROOM 04 T,Room and Board,0.83,"ROOM 0448 AB, ROOM 0473 A",2
CHARGER HEARTWARE 1600US _379603,,,,0
PILLOW DISP 20OZ 19X25_315527,,,,0
BAG BLOOD TRANSFER_4092,,,,0
ATORVASTATIN TAB 40 MG,Pharmacy,0.9,ATORVASTATIN 40MG TABLET,1
INSULINREG(HUMAN)INJ BLK100UN/ML,Pharmacy,0.81,"INSULIN REGULAR 100UN/ML INJ 3, INSULIN REGULAR HUMAN 100, INSULIN REGULAR HUMAN 100 UNIT/ML SOLN, INSULIN REG HUM 5U- 00U/ML UNI",4
BANDAGE SURGICAL ABSORBAB_235883,,,,0
ROCURONIUM SYR 100MG/10ML,Pharmacy,0.8316666666666667,"ROCURONIUM 10 MG/ML SOLN, ROCURONIUM 100 MG/10ML SOLN, ROCURONIUM 50MG/5ML INJ, ROCURONIUM BROM 10 MG / ML, ROCURONIUM 10MG/ML 10ML VL, ROCURONIUM 50MG/5ML",6
PT EVAL - 38-52 MIN,PT / OT / Speech Therapy,0.84,"HC PT EVAL 0-15 MIN, PT EVAL 30 MIN GP",2
MULTIPLE VITAMIN THERAPEUTIC TB,,,,0
OT EVAL NEW PATIENT 23-37 MIN,,,,0
CONNECTOR REDUCING ST .5*_103521,,,,0
DRAIN SALEM SUMP ANTIREFL_10263,,,,0
TUBE CHEST THORACIC FIRM _299783,,,,0
CULTURE P PATHOG - SCREEN,,,,0
SPONTANEOUS MECHANICS-,,,,0
SUT PROLENE 8706H 6-0 DA _9147,,,,0
TROPONIN QUAN,Laboratory,0.8755555555555555,"HC TROPONIN QUANT, TROPONIN QUANT, HC TROPONIN-I, HC TROPONIN I, TROPONIN I, HC TROPONIN, TROPONIN QNT, TROPONIN  QUANTITATIVE (TR, TROPONIN T QUANT",9
DOBUTAMINE 500MG/D5W250 ML,,,,0
AMINOCAPROIC ACID IJ 5000MG/20ML,Pharmacy,0.88,"AMINOCAPROIC ACID 5GM/20ML INJ, AMINOCAPROIC ACID 5000MG/, AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL",3
DIPYRIDAMOLE TAB 25 MG,,,,0
"BACITRACIN IRRI 50,000UNITS",Pharmacy,0.835,"BACITRACIN ZINC 500 UN/G OINT, BACITRACIN 50 000 UNIT INJ, BACITRACIN 50 000 UNIT RECON SOLN, BACITRACIN IN 50000 U",4
TUBE CHEST RIGHT ANGLE PV_1833,,,,0
SEALANT SURGICAL COSEAL 8_192327,,,,0
PUMP VAD BLOOD CENTRIMAG_341706,,,,0
STP COV EGIAUSHORT SHT UL_403748,,,,0
MAG SULF BG 2GM/NS 100ML(FOR OC),,,,0
FUROSEMIDE INJ 40 MG/4 ML-,Pharmacy,0.8425,"FUROSEMIDE 10 MG/ML SOLN, FUROSEMIDE 10 MG/ML SOLN 1, FUROSEMIDE 10 MG/ML INJ 2ML, FUROSEMIDE INJ 40MG 4ML, FUROSEMIDE 40MG TABS, FUROSEMIDE 100MG/1, FUROSEMIDE 20 MG INJ, FUROSEMIDE 40 MG TAB",8
ADAPTER HEARTWARE 1435 DC_379609,,,,0
PAD GROUND ADT 10 FT_339827,,,,0
PACK WAIST HEARTWARE_391400,,,,0
SODIUM CHLORIDE IVBG 0.9% 250ML,"Diluent / Flush / Irrigant, Supply, Pharmacy",,"0.9% SODIUM CHLORIDE 0.9 % SOLN, IV-SODIUM CHLORIDE 0.9% 250ML, SOD CHLOR 0.9%, SODIUM CHLOR, SODIUM CHLOR INJ 100 M, SODIUM CHLORI, SODIUM CHLORID, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE .9% INJ 1, SODIUM CHLORIDE .9% INJ 2, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.45%, SODIUM CHLORIDE 0.45% FLUS, SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9 % SOLP, SODIUM CHLORIDE 0.9% 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML 0264-1800-32, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 250ML I, SODIUM CHLORIDE 0.9% 250ML IV, SODIUM CHLORIDE 0.9% 25ML, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% 50ML 5 0264-1800-31, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% 50ML MB+, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% IV, SODIUM CHLORIDE 0.9% IVPB  5, SODIUM CHLORIDE 0.9% QS BASE, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% SYRG, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE 10 ML SYR, SODIUM CHLORIDE INJ 0.9%, SODIUM CHLORIDE PER 250 ML, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 2.5 MEQ/ML, SODIUM CHLORIDE PER 500 ML, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE 0.9% 3ML INHA, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT, SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG, SODIUM CHLORIDE 3% 500ML, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SOD CHLORIDE 0.9%/250ML 50ML, SOD CHLORIDE 0.9% PER 250ML, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHL 0.9% 100ML, SODIUM CHLORIDE 0.9% 250ML, SODIUM CHLORIDE 0.9 % SYRINGE",78
MILRINONE IV BAG 20MG/100ML,,,,0
C DIFF AMPLIFIED PROBE,Laboratory,1.0,C DIFF AMPLIFIED PROBE,1
KIT CANNISTR INFOVAC W/O _333116,,,,0
DRAIN CHEST OASIS SINGLE _13352,,,,0
DESMOPRESSIN INJ 4 MCG/1 ML,,,,0
BAG HEARTWARE 2000US SHOW_379610,,,,0
DRESSING FOAM VAC SOFT 10_296572,,,,0
ELECTRODE QUIK COMBO ADUL_256151,Supply,0.8,ELECTRODE AD,1
BOVIE TIP COVERED_206908,,,,0
PW/CW DOPPLER (LIMITED),,,,0
CLINICAL SURGICAL PROCEDURE STAT,,,,0
METOLAZONE TAB 5 MG,Pharmacy,0.8262499999999999,"METRONIDAZOLE 500 MG PO TABS, METRONIDAZOLE 500MG TABLET, METRONIDAZOLE 500 MG TAB, RX METRONIDAZOLE 500MG TB, 13729002 - METOLAZONE TABLET 10MG, 13729012 - METOLAZONE TABLET 2.5MG, 13729022 - METOLAZONE TABLET 5MG, METRONIDAZOLE 500 MG TABLET",8
NOREPINEPHRINE 8MG/D5W 500ML,"Diluent / Flush / Irrigant, Pharmacy",,"NOREPINEPHRINE I 1MG/, NOREPINEPHRINE 8MG/NS 250 ML K, NOREPINEPHRIN IV D5 16MG 250MG, NOREPINEPHRINE 4 MG IN 250, NOREPINEPHRINE 8MG/250ML NS 32 MCG/ML SOLN",5
CONNECTOR Y .375* . 375*.37_98223,,,,0
