Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
METOPROLOL 5MG/5ML,metoprolol 5_mg/5_ml,Pharmacy,RETROSPECTIVE,metoprolol,5_mg/5_ml,,
METOPROLOL TARTRATE 12.5 MG TABLET,metoprolol tartrate 12.5_mg tablet,Pharmacy,RETROSPECTIVE,metoprolol,12.5_mg,tablet,tartrate
METOPROLOL TARTRATE 25 MG TABLET,metoprolol tartrate 25_mg tablet,Pharmacy,RETROSPECTIVE,metoprolol,25_mg,tablet,tartrate
METOPROLOL TARTRATE 50 MG TABLET,metoprolol tartrate 50_mg tablet,Pharmacy,RETROSPECTIVE,metoprolol,50_mg,tablet,tartrate
METRONIDAZOLE 50 MG/ML PO,metronidazole 50_mg/ml by_mouth,Pharmacy,RETROSPECTIVE,metronidazole,50_mg/ml,by_mouth,
METRONIDAZOLE 500 MG IVPB,metronidazole 500_mg intravenous_piggyback,Pharmacy,RETROSPECTIVE,metronidazole,500_mg,intravenous_piggyback,
METRONIDAZOLE 500 MG TABLET,metronidazole 500_mg tablet,Pharmacy,RETROSPECTIVE,metronidazole,tablet,500_mg,
MG-PLUS PROTEIN 133 MG TAB,milligram plus protein 133_mg tablet,Pharmacy,RETROSPECTIVE,plus,tablet,milligram,
MIDAZOLAM 1MG-MG/ML 2ML VL,midazolam 1_mg mg/ml 2_ml vial,Pharmacy,RETROSPECTIVE,1_mg,ml,2_ml,vial
MIDAZOLAM HCL 1 MG INJ,midazolam hcl 1_mg injection,Pharmacy,RETROSPECTIVE,1_mg,injection,midazolam,hcl
MIDODRINE 5 MG TAB,midodrine 5_mg tablet,Pharmacy,RETROSPECTIVE,5_mg,tablet,midodrine,
MINI BAL,mini ball,Supply,RETROSPECTIVE,mini,ball,,
MORPH SULF 10MG-2MG CARPUJECT,morph sulfate 10_mg 2_mg carpuject,Pharmacy,RETROSPECTIVE,2_mg,sulfate,10_mg,
MORPHINE 15 MG TABLET SUSTAINED RELEASE,morphine 15_mg tablet sustained release,Pharmacy,RETROSPECTIVE,15_mg,morphine,tablet,
MORPHINE 2 MG INJ,morphine 2_mg injection,Pharmacy,RETROSPECTIVE,2_mg,injection,morphine,
MORPHINE 30 MG TABLET SUSTAINED RELEASE,morphine 30_mg tablet sustained release,Pharmacy,RETROSPECTIVE,morphine,tablet,,
MORPHINE 60 MG TABLET SUSTAINED RELEASE,morphine 60_mg tablet sustained release,Pharmacy,RETROSPECTIVE,60_mg,morphine,tablet,
MORPHINE PF 10MG INJ,morphine partial_fill 10_mg injection,Pharmacy,RETROSPECTIVE,partial_fill,injection,morphine,10_mg
MORPHINE SULFATE 10 MG INJ,morphine_sulfate 10_mg injection,Pharmacy,RETROSPECTIVE,injection,morphine,sulfate,10_mg
MORPHINE SULFATE UP TO 10 MG INJ,morphine_sulfate up to 10_mg injection,Pharmacy,RETROSPECTIVE,injection,morphine,sulfate,10_mg
MORPHINE UP TO 10MG,morphine up to 10_mg,Pharmacy,RETROSPECTIVE,morphine,10_mg,,
MOUTHWASH BLM COMP KIT,mouthwash balm component kit,Supply,RETROSPECTIVE,balm,component,mouthwash,kit
MYCOPHENALATE 250 MG PO S,mycophenalate 250_mg by_mouth sigma,Pharmacy,RETROSPECTIVE,250_mg,by_mouth,sigma,mycophenalate
MYCOPHENOLATE 500 MG INJ,mycophenolate 500_mg injection,Pharmacy,RETROSPECTIVE,mycophenolate,injection,500_mg,
MYCOPHENOLATE SOD 360 MG T,mycophenolate sodium 360_mg tab,Pharmacy,RETROSPECTIVE,mycophenolate,tab,360_mg,sodium
NACL 0.45% SOLN,sodium_chloride 0.45% solution,Pharmacy,RETROSPECTIVE,soln,0.45%,nacl,
NASAL CANNULA,nasal_cannula,Supply,RETROSPECTIVE,cannula,nasal,,
NEBULIZER TX INTERMITTENT,nebulizer treatment intermittent,Respiratory Therapy,RETROSPECTIVE,intermittent,nebulizer,treatment,
NEOSTIGMINE 5MG INJ,neostigmine 5_mg injection,Pharmacy,RETROSPECTIVE,neostigmine,injection,5_mg,
NEW EVAL 15 MIN OT,new evaluation 15_minutes occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,new,evaluation,minutes,occupational_therapy
NEW EVAL 15 MIN PT,new evaluation 15_minutes physical_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,new,evaluation,minutes,physical_therapy
NOREPINEPHRINE 4 MG IN 250,norepinephrine 4_mg individual 250,Pharmacy,RETROSPECTIVE,norepinephrine,individual,4_mg,
NOREPINEPHRINE 8MG/250ML NS 32 MCG/ML SOLN,norepinephrine 8_mg/250_ml normal_saline 32 mcg/ml solution,Diluent / Flush / Irrigant,RETROSPECTIVE,mcg,ml,soln,ns
NORM SALIN 1000ML IV,normal_saline 1000_ml intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,intravenous,1000_ml,normal
NORM SALINE 250ML IV,normal_saline 250_ml intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,250_ml,intravenous,normal
OCCUPATIONAL THERAPY EVAL,occupational_therapy evaluation,PT / OT / Speech Therapy,RETROSPECTIVE,evaluation,occupational,therapy,
OCTREOTIDE ACET (SANDOSTAT,octreotide acet sandostatin,Pharmacy,RETROSPECTIVE,sandostatin,octreotide,acet,
OCULAR LUBRICANT PF 0.9ML,ocular lubricant partial_fill 0.9_ml,Supply,RETROSPECTIVE,lubricant,ocular,0.9_ml,partial_fill
OLANZAPINE 10 MG TABS,olanzapine 10_mg tablets,Pharmacy,RETROSPECTIVE,olanzapine,tabs,10_mg,
OMEPRAZOLE 2 MG/ML SUSP,omeprazole 2_mg/ml suspension,Pharmacy,RETROSPECTIVE,susp,2_mg/ml,omeprazole,
ONDANSETRON HCL 1 MG INJ,ondansetron hcl 1_mg injection,Pharmacy,RETROSPECTIVE,1_mg,ondansetron,injection,hcl
OSMOLALITY  URINE (UOSMO),osmolality urine uosmo,Laboratory,RETROSPECTIVE,urine,osmolality,uosmo,
OSMOLALITY BLOOD,osmolality blood,Laboratory,RETROSPECTIVE,osmolality,blood,,
OT EVAL INTERMEDIATE,occupational_therapy evaluation intermediate,PT / OT / Speech Therapy,RETROSPECTIVE,evaluation,intermediate,occupational_therapy,
OT EVAL VISIT,occupational_therapy evaluation visit,PT / OT / Speech Therapy,RETROSPECTIVE,evaluation,occupational_therapy,visit,
OXYCODONE 5 MG TABLET,oxycodone 5_mg tablet,Pharmacy,RETROSPECTIVE,5_mg,oxycodone,tablet,
OXYCODONE 5MG / ASPIRIN 32,oxycodone 5_mg/aspirin 32,Pharmacy,RETROSPECTIVE,5_mg/aspirin,oxycodone,,
OXYCODONE-ACETAMINOPHEN 10-325 MG TABLET,oxycodone acetaminophen 10 325_mg tablet,Pharmacy,RETROSPECTIVE,325_mg,oxycodone,tablet,acetaminophen
OXYCODONE-ACETAMINOPHEN 5-325 MG TABLET,oxycodone acetaminophen 5 325_mg tablet,Pharmacy,RETROSPECTIVE,325_mg,oxycodone,tablet,acetaminophen
PACK ICE 4 TIES STAY DRY LG,pack ice 4 ties stay dry large,Supply,RETROSPECTIVE,pack,,,
PANTOPRAZOLE 40 MG INJ,pantoprazole 40_mg injection,Pharmacy,RETROSPECTIVE,injection,pantoprazole,40_mg,
PANTOPRAZOLE 40 MG TAB,pantoprazole 40_mg tablet,Pharmacy,RETROSPECTIVE,tablet,pantoprazole,40_mg,
PANTOPRAZOLE 40 MG TAB DR,pantoprazole 40_mg tablet dr,Pharmacy,RETROSPECTIVE,tablet,dr,pantoprazole,40_mg
PANTOPRAZOLE SOD VL,pantoprazole sodium vial,Pharmacy,RETROSPECTIVE,vial,pantoprazole,sodium,
PANTOPRAZOLE SODIUM INJECTION PER VIAL,pantoprazole sodium injection per vial,Pharmacy,RETROSPECTIVE,vial,injection,pantoprazole,per
PENTAMIDINE ISETHIONATE 30,pentamidine isethionate 30,Pharmacy,RETROSPECTIVE,isethionate,pentamidine,,
PERIDEX ORAL RINSE 15ML,peridex oral rinse 15_ml,Pharmacy,RETROSPECTIVE,peridex,oral,rinse,15_ml
PHENYLEP HCL  1 ML-10 MG/ML 1ML,phenylephrine hcl 1_ml 10_mg/ml 1_ml,Pharmacy,RETROSPECTIVE,phenylephrine,1_ml,hcl,
PHENYLEPHRIN 1ML INJ,phenylephrine 1_ml injection,Pharmacy,RETROSPECTIVE,phenylephrine,1_ml,injection,
PHOSPHATES ENEMA ADULT,phosphates enema adult,Supply,RETROSPECTIVE,enema,adult,phosphates,
PHOSPHORUS  SERUM,phosphorus serum,Laboratory,RETROSPECTIVE,serum,phosphorus,,
PHOSPHORUS INORGANIC (PHOS,phosphorus inorganic phosphate,Laboratory,RETROSPECTIVE,inorganic,phosphate,phosphorus,
PHYSICAL THERAPY EVAL,physical_therapy evaluation,PT / OT / Speech Therapy,RETROSPECTIVE,evaluation,therapy,physical,
PHYTONADIONE (VITAMIN K) PER 1 MG,phytonadione vitamin potassium per 1_mg,Pharmacy,RETROSPECTIVE,1_mg,potassium,vitamin,per
PHYTONADIONE 1 MG INJ,phytonadione 1_mg injection,Pharmacy,RETROSPECTIVE,1_mg,injection,phytonadione,
PIPERACILLIN / TAZOBACTAM,piperacillin/tazobactam,Pharmacy,RETROSPECTIVE,tazobactam,piperacillin,,
PIPERACILLIN-TAZOBACTAM 1.125 G IV,piperacillin tazobactam 1.125 gram intravenous,Pharmacy,RETROSPECTIVE,gram,iv,,
PLEUR EVAC INFANT/ADULT,pleural evac infant/adult,Supply,RETROSPECTIVE,pleural,evac,infant,adult
PNEUMOCYSTIS FUNGAL STAIN,pneumocystis fungal stain,Laboratory,RETROSPECTIVE,stain,fungal,pneumocystis,
POT CHLORIDE 10% 20MEQ/15ML UD,pot chloride 10% 20_meq/15_ml ud,Pharmacy,RETROSPECTIVE,ud,chloride,,
POTASSIUM  SERUM,potassium serum,Laboratory,RETROSPECTIVE,potassium,serum,,
POTASSIUM  URINE,potassium urine,Laboratory,RETROSPECTIVE,potassium,urine,,
POTASSIUM CHLOR 20 MEQ SR,potassium chloride 20_meq slow_release,Pharmacy,RETROSPECTIVE,slow_release,potassium,chloride,20_meq
POTASSIUM CHLOR 20 MEQ/100,potassium chloride 20_meq/100,Pharmacy,RETROSPECTIVE,potassium,chloride,20_meq/100,
POTASSIUM CHLOR 20 MEQ/50,potassium chloride 20_meq/50,Pharmacy,RETROSPECTIVE,20_meq/50,potassium,chloride,
POTASSIUM CHLORIDE 2 MEQ INJ,potassium chloride 2_meq injection,Pharmacy,RETROSPECTIVE,2_meq,potassium,chloride,injection
POTASSIUM CHLORIDE 20 MEQ/15ML (10%),potassium chloride 20_meq/15_ml 10%,Pharmacy,RETROSPECTIVE,potassium,20_meq/15_ml,chloride,10%
POTASSIUM CHLORIDE 20 MEQ/15ML (10%) SOLN,potassium chloride 20_meq/15_ml 10% solution,Pharmacy,RETROSPECTIVE,potassium,chloride,soln,
POTASSIUM CHLORIDE INJECTION PER 2 MEQ,potassium chloride injection per 2_meq,Pharmacy,RETROSPECTIVE,2_meq,potassium,chloride,injection
POTASSIUM CHLORIDE PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,RETROSPECTIVE,2_meq,potassium,chloride,per
PRAMIPEXOLE 0.25 MG TABLET,pramipexole 0.25_mg tablet,Pharmacy,RETROSPECTIVE,pramipexole,tablet,0.25_mg,
PRE-ALBUMIN,pre albumin,Laboratory,RETROSPECTIVE,pre,albumin,,
PREALBUMIN (PAB),prealbumin pab,Laboratory,RETROSPECTIVE,pab,prealbumin,,
PREDNISONE 20 MG TAB,prednisone 20_mg tablet,Pharmacy,RETROSPECTIVE,20_mg,prednisone,tablet,
PREDNISONE 5 MG TAB,prednisone 5_mg tablet,Pharmacy,RETROSPECTIVE,5_mg,prednisone,tablet,
PREGABALIN 75 MG CAPSULE,pregabalin 75_mg capsule,Pharmacy,RETROSPECTIVE,75_mg,pregabalin,capsule,
PROPOFOL 10 MG INJ,propofol 10_mg injection,Pharmacy,RETROSPECTIVE,injection,propofol,10_mg,
PROPOFOL 10 MG IV,propofol 10_mg intravenous,Pharmacy,RETROSPECTIVE,iv,propofol,10_mg,
PROPOFOL 10 MG/ML INJ,propofol 10_mg/ml injection,Pharmacy,RETROSPECTIVE,injection,propofol,10_mg/ml,
PROPOFOL 100ML VL,propofol 100_ml vial,Pharmacy,RETROSPECTIVE,vial,100_ml,propofol,
PROPOFOL 10MG/ML 20ML VL,propofol 10_mg/ml 20_ml vial,Pharmacy,RETROSPECTIVE,vial,propofol,10_mg/ml,20_ml
PROTAMINE SULFATE 10 MG INJ,protamine sulfate 10_mg injection,Pharmacy,RETROSPECTIVE,injection,protamine,sulfate,10_mg
PROTEIN CSF,protein cerebrospinal_fluid,Laboratory,RETROSPECTIVE,protein,csf,,
PROTEIN TOTAL UR (UP  RUP),protein total urine up rup,Laboratory,RETROSPECTIVE,protein,total,urine,rup
PROTHROMBIN TIME,prothrombin_time,Laboratory,RETROSPECTIVE,time,prothrombin,,
PROTHROMBIN TIME (PT),prothrombin_time patient,Laboratory,RETROSPECTIVE,time,patient,prothrombin,
PT EVAL VISIT,physical_therapy evaluation visit,PT / OT / Speech Therapy,RETROSPECTIVE,visit,evaluation,physical_therapy,
PULSE OXIMETRY SENSOR,pulse oximetry sensor,Supply,RETROSPECTIVE,oximetry,sensor,pulse,
PULSE OXIMTRY SINGLE,pulse oximetry single,Monitoring,RETROSPECTIVE,single,oximetry,pulse,
QUANT URINE CULTURE,quantitative urine culture,Laboratory,RETROSPECTIVE,quantitative,urine,culture,
QUETIAPINE 25 MG TABS,quetiapine 25_mg tablets,Pharmacy,RETROSPECTIVE,quetiapine,tabs,25_mg,
R&B STEPDOWN SEMI,room_and_board stepdown semi,Room and Board,RETROSPECTIVE,room_and_board,semi,stepdown,
RESUS ELECTROLYTE PANEL,resuscitation electrolyte panel,Laboratory,RETROSPECTIVE,electrolyte,resuscitation,panel,
RESUS GLUCOSE,resuscitation glucose,Monitoring,RETROSPECTIVE,resuscitation,glucose,,
RH,rhesus,Laboratory,RETROSPECTIVE,rhesus,,,
RH TYPING,rhesus typing,Laboratory,RETROSPECTIVE,rh,typing,,
RIFAXIMIN 550 MG TAB,rifaximin 550_mg tablet,Pharmacy,RETROSPECTIVE,tablet,rifaximin,550_mg,
ROCURONIUM 10MG/ML 10ML VL,rocuronium 10_mg/ml 10_ml vial,Pharmacy,RETROSPECTIVE,vial,rocuronium,10_ml,10_mg/ml
ROCURONIUM 50MG/5ML,rocuronium 50_mg/5_ml,Pharmacy,RETROSPECTIVE,rocuronium,50_mg/5_ml,,
ROPIVACAINE 1MG INJ,ropivacaine 1_mg injection,Pharmacy,RETROSPECTIVE,ropivacaine,1_mg,injection,
SALINE SOLUTION STERILE,saline solution sterile,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,sterile,solution,
SELFCARE HOME MGMT 15 MIN,selfcare home management 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,selfcare,mgmt,min,home
SEMI PRIVATE,semi private,Room and Board,RETROSPECTIVE,private,semi,,
SEMI PRIVATE ROOM,semi private room,Room and Board,RETROSPECTIVE,private,semi,room,
SEMI-PRIVATE,semi private,Room and Board,RETROSPECTIVE,private,semi,,
SENNOSIDES 8.8MG/5ML,sennosides 8.8_mg/5_ml,Pharmacy,RETROSPECTIVE,8.8_mg/5_ml,sennosides,,
SENSOR OXIMETRY NEONATAL,sensor oximetry neonatal,Supply,RETROSPECTIVE,neonatal,oximetry,sensor,
SEQ COMP SLEEVES,sequence compressors sleeves,Supply,RETROSPECTIVE,compressors,sleeves,sequence,
SERTRALINE 50 MG TABS,sertraline 50_mg tablets,Pharmacy,RETROSPECTIVE,sertraline,50_mg,tabs,
SERTRALINE 60 MG TABS,sertraline 60_mg tablets,Pharmacy,RETROSPECTIVE,60_mg,sertraline,tabs,
SET  INTRODUCER 5FR,set introducer 5fr,Supply,RETROSPECTIVE,5fr,set,introducer,
SET UNIVERSAL 3-BAG SPIKE SET,set universal 3 bag spike set,Supply,RETROSPECTIVE,bag,set,,
SIMETHICONE 80 MG CHEW,simethicone 80_mg chew,Pharmacy,RETROSPECTIVE,simethicone,80_mg,chew,
SKIN BARRIER W/FLOATING FLANGE,skin barrier with floating flange,Supply,RETROSPECTIVE,floating,flange,barrier,skin
SMEAR  FUNGAL  FLUORESCE (FU,smear fungal fluorescent fu,Laboratory,RETROSPECTIVE,smear,fungal,fu,fluorescent
SMEAR FOR BACTERIA,smear for bacteria,Laboratory,RETROSPECTIVE,smear,bacteria,,
SOCK STUMP 18X6X5,sock stump 18x6x5,Supply,RETROSPECTIVE,stump,sock,18x6x5,
SOCK STUMP 18X8X6,sock stump 18x8x6,Supply,RETROSPECTIVE,stump,18x8x6,sock,
SOD PHOSPHATE 15ML 45MM,sodium phosphate 15_ml 45mm,Pharmacy,RETROSPECTIVE,45mm,phosphate,15_ml,sodium
SODIUM  URINE,sodium urine,Laboratory,RETROSPECTIVE,urine,sodium,,
SODIUM CHLOR 4 MEQ/ML INJ,sodium_chloride 4_meq/ml injection,Pharmacy,RETROSPECTIVE,injection,chloride,4_meq/ml,sodium
SODIUM CHLORIDE 0.9 % SYRINGE,sodium_chloride 0.9% syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,syringe,chloride,sodium
SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION,sodium_chloride 0.9% parenteral solution,Diluent / Flush / Irrigant,RETROSPECTIVE,parenteral,chloride,solution,sodium
SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 100 ML,sodium_chloride 0.9% parenteral solution 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,parenteral,100_ml,chloride,solution
SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 150 ML,sodium_chloride 0.9% parenteral solution 150_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,parenteral,chloride,solution,sodium
SODIUM LEVEL,sodium level,Laboratory,RETROSPECTIVE,level,sodium,,
SOL IV .9 NS INJ 100ML BAG,solution intravenous 0.9 normal_saline injection 100_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,normal_saline,solution,bag,100_ml
SOL IV .9 NS INJ 250 BAG,solution intravenous 0.9 normal_saline injection 250 bag,Diluent / Flush / Irrigant,RETROSPECTIVE,bag,injection,normal_saline,solution
SOL IV .9 NS INJ 500ML BAG,solution intravenous 0.9 normal_saline injection 500_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,normal_saline,solution,bag,500_ml
SOL IV DEX INJ 5% 100ML,solution intravenous dextrose injection 5% 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,injection,dextrose,solution
SOL LAGENASE OINT,solution lagenase ointment,Pharmacy,RETROSPECTIVE,ointment,lagenase,solution,
SORE THROAT SPRAY 180 ML B,sore throat spray 180_ml b,Supply,RETROSPECTIVE,throat,sore,spray,b
STAPLER CONTOUR CVD GRN CS40G,stapler contour cvd grn cs40_gm,Supply,RETROSPECTIVE,grn,cvd,cs40_gm,stapler
STAPLER SKIN APPMED APPOSE,stapler skin appmed appose,Supply,RETROSPECTIVE,appmed,stapler,appose,skin
STERILE WATER 20ML,sterile water 20_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,water,sterile,20_ml,
SUCCINYL CL 20MG-10ML INJ,succinyl chloride 20_mg 10_ml injection,Pharmacy,RETROSPECTIVE,10_ml,20_mg,injection,chloride
SUCCINYLCHN 20MG INJ,succinylcholine 20_mg injection,Pharmacy,RETROSPECTIVE,injection,20_mg,succinylcholine,
SUCRALFATE 1000MG/10,sucralfate 1000_mg/10,Pharmacy,RETROSPECTIVE,sucralfate,1000_mg/10,,
SURGICEL ORIGINAL HEMOSTAT,surgicel original hemostat,Supply,RETROSPECTIVE,hemostat,original,surgicel,
SURGIFLO HEMOSTAT MATRIX 8,surgiflo hemostat matrix 8,Supply,RETROSPECTIVE,hemostat,matrix,surgiflo,
SURGIFOAM ABS GEL SPONGE H,surgifoam abs gel sponge h,Supply,RETROSPECTIVE,sponge,h,abs,surgifoam
SUT BOOT AID 051003,suture boot aid 51003,Supply,RETROSPECTIVE,boot,suture,aid,
SUT SOFSILK 0 TIES 18IN X12 BLK S176,suture sofsilk 0 ties 18 inches x12 blk s176,Supply,RETROSPECTIVE,suture,inches,,
SUT SOFSILK 2-0 PRE-CUT 12X18IN S195-CSC,suture sofsilk 2 0 pre cut 12x18 inches s195 csc,Supply,RETROSPECTIVE,suture,inches,,
SYPHILUS TEST QUAL,syphilus test qual,Laboratory,RETROSPECTIVE,test,qual,syphilus,
SYR SALINE 10ML REG PR FILL,syringe saline 10_ml regular pressure fill,Supply,RETROSPECTIVE,syringe,saline,regular,10_ml
SYS THERAWASH SILVER BATH,system therawash silver bath,Supply,RETROSPECTIVE,bath,system,therawash,silver
TACROLIMUS (FK506B),tacrolimus fk506b,Pharmacy,RETROSPECTIVE,fk506b,tacrolimus,,
TACROLIMUS 1 MG CAP,tacrolimus 1_mg capture,Pharmacy,RETROSPECTIVE,1_mg,capture,tacrolimus,
TACROLIMUS 5 MG (0.5 MG/ML,tacrolimus 5_mg 0.5_mg/ml,Pharmacy,RETROSPECTIVE,0.5_mg/ml,5_mg,tacrolimus,
TBO-FILGRASTIM 480 MCG/0.8,tbo filgrastim 480 microgram/0.8,Pharmacy,RETROSPECTIVE,filgrastim,tbo,microgram/0.8,
TELMISARTAN 40 MG TABLET,telmisartan 40_mg tablet,Pharmacy,RETROSPECTIVE,telmisartan,tablet,40_mg,
TELMISARTAN 80 MG TABLET,telmisartan 80_mg tablet,Pharmacy,RETROSPECTIVE,telmisartan,80_mg,tablet,
THER EXERCISE 15 MIN OT,therapist exercise 15_minutes occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,occupational_therapy,therapist,minutes,exercise
THER EXERCISE 15 MIN PT,therapist exercise 15_minutes physical_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,therapist,minutes,physical_therapy,exercise
THERA DYNAMIC ACT EA 15 MIN,therapy dynamic activity each 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,dynamic,therapy,min,act
THERAP EXERCS-15 MIN,therapy exercise 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,minutes,therapy,exercise,
THYROID STIM HORMONE (TSH),thyroid stim hormone thyroid-stimulating_hormone,Laboratory,RETROSPECTIVE,thyroid,hormone,stim,thyroid-stimulating_hormone
TPN ADULT 1L-BAG,total_parenteral_nutrition adult 1l bag,Pharmacy,RETROSPECTIVE,total_parenteral_nutrition,bag,adult,1l
TRAMADOL 50 MG TAB,tramadol 50_mg tablet,Pharmacy,RETROSPECTIVE,50_mg,tablet,tramadol,
TRAY  FOLEY URINEMETER 800092,tray foley urinemeter 800092,Supply,RETROSPECTIVE,foley,urinemeter,tray,
TRAY MONITOR ARTERIAL,tray monitor arterial,Supply,RETROSPECTIVE,arterial,tray,monitor,
TRAY MONITOR SWAN-GANZ,tray monitoring swan ganz,Supply,RETROSPECTIVE,ganz,monitoring,swan,tray
TRAY PARACENTESIS,tray paracentesis,Supply,RETROSPECTIVE,paracentesis,tray,,
TRAY STAPLE REMOVE,tray staple remove,Supply,RETROSPECTIVE,tray,staple,remove,
TRAY SUT REMOVE,tray suture remove,Supply,RETROSPECTIVE,suture,tray,remove,
TRIGLYCERIDE,triglyceride,Laboratory,RETROSPECTIVE,triglyceride,,,
TROPONIN  QUANTITATIVE (TR,troponin quantitative tincture,Laboratory,RETROSPECTIVE,quantitative,troponin,tincture,
TROPONIN T QUANT,troponin tab quantitative,Laboratory,RETROSPECTIVE,quantitative,troponin,tab,
TSH,thyroid-stimulating_hormone,Laboratory,RETROSPECTIVE,tsh,,,
TTE WITH DOPPLER &AND COLOR FLOW IRP,transesophageal_echocardiogram with doppler &and color flow irp,Radiology,RETROSPECTIVE,color,doppler,flow,
TTE WITH DOPPLER AND COLOR FLOW,transesophageal_echocardiogram with doppler and color flow,Radiology,RETROSPECTIVE,color,doppler,flow,tte
TUBING LINE COILED FEM/MALE 60,tubing line coiled femoral/male 60,Supply,RETROSPECTIVE,tubing,line,,
TX OF SWALLOWING DYSFUNCTION,treatment of swallowing dysfunction,PT / OT / Speech Therapy,RETROSPECTIVE,swallowing,treatment,dysfunction,
UA  AUTO W SCOPE,urinalysis automated with scope,Laboratory,RETROSPECTIVE,urinalysis,scope,automated,
UREA NITROGEN UR (UUN/RUUN,urea nitrogen urine uun/ruun,Laboratory,RETROSPECTIVE,ruun,urea,urine,uun
URINALYSIS CULTURE IF INDICAT,urinalysis culture if indicated,Laboratory,RETROSPECTIVE,urinalysis,indicated,culture,
URINALYSIS WITHOUT MICRO  AUTO,urinalysis without miscroscopic automated,Laboratory,RETROSPECTIVE,urinalysis,miscroscopic,without,automated
URSODIOL 60 MG/ML PO SUSP,ursodiol 60_mg/ml by_mouth suspension,Pharmacy,RETROSPECTIVE,by_mouth,ursodiol,60_mg/ml,suspension
US ABDOMEN SNGL ORG,ultrasound abdomen single org,Radiology,RETROSPECTIVE,ultrasound,single,abdomen,org
US GUIDANCE FOR VASCULAR ACCESS,ultrasound guidance for vascular access,Radiology,RETROSPECTIVE,access,us,guidance,vascular
VALGANCICLOVIR 450 MG TAB,valganciclovir 450_mg tablet,Pharmacy,RETROSPECTIVE,450_mg,valganciclovir,tablet,
VALGANCICLOVIR 50 MG/ML -,valganciclovir 50_mg/ml,Pharmacy,RETROSPECTIVE,50_mg/ml,valganciclovir,,
VANCOMYCIN  RANDOM (VANCR),vancomycin random vancr,Laboratory,RETROSPECTIVE,random,vancomycin,vancr,
VANCOMYCIN 1 GM IVPB,vancomycin 1_gm intravenous_piggyback,Pharmacy,RETROSPECTIVE,1_gm,vancomycin,intravenous_piggyback,
VANCOMYCIN 1G/D5W 200ML,vancomycin 1_gm/dextrose_5%_in_water 200_ml,Pharmacy,RETROSPECTIVE,200_ml,1_gm/dextrose_5%_in_water,vancomycin,
VANCOMYCIN 500 MG IVPB,vancomycin 500_mg intravenous_piggyback,Pharmacy,RETROSPECTIVE,vancomycin,500_mg,intravenous_piggyback,
VANCOMYCIN HCL 500 MG,vancomycin hydrochloride 500_mg,Pharmacy,RETROSPECTIVE,vancomycin,500_mg,hydrochloride,
VANCOMYCIN-RANDOM,vancomycin random,Laboratory,RETROSPECTIVE,random,vancomycin,,
VARICELLA ZOSTER AB,varicella zoster antibody,Laboratory,RETROSPECTIVE,antibody,varicella,zoster,
VASOPRESSIN 20 UNIT INJ,vasopressin 20_units injection,Pharmacy,RETROSPECTIVE,injection,vasopressin,20_units,
VENT ADULT MGMT INITIAL 0-,ventilator adult management initial 0,Respiratory Therapy,RETROSPECTIVE,ventilator,initial,management,adult
VENT ADULT MGMT SUBSQ DAY,ventilator adult management subsequent day,Respiratory Therapy,RETROSPECTIVE,ventilator,subsequent,management,adult
VENT INITIAL DAY MGMT- LEVL 1,ventilator initial day management level 1,Respiratory Therapy,RETROSPECTIVE,ventilator,management,initial,day
VENT SUBSEQ DAY MGMT-LEVL 1,ventilator subsequent day management level 1,Respiratory Therapy,RETROSPECTIVE,ventilator,subsequent,management,day
VENT SUBSQ WEAN MGMT-LEVL 2,ventilator subsequent wean management level 2,Respiratory Therapy,RETROSPECTIVE,ventilator,subsequent,management,level
VENTILATOR MANAGEMENT,ventilator management,Respiratory Therapy,RETROSPECTIVE,ventilator,management,,
VIRAL CULTURES,viral cultures,Laboratory,RETROSPECTIVE,viral,cultures,,
VITAMIN B-12 CYANOCOBALAMIN UP TO 1 000 MCG,vitamin b 12 cyanocobalamin up to 1 0 microgram,Pharmacy,RETROSPECTIVE,b,mcg,vitamin,cyanocobalamin
VITAMIN B12,vitamin b12,Pharmacy,RETROSPECTIVE,b12,vitamin,,
